Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper
1,Arsenal,35,25,5,5,85,28,+57,80,2.29,68.4,26.3,+42.1,+1.20,W L W W W,"60,225",Bukayo Saka - 15,David Raya
2,Manchester City,34,24,7,3,82,32,+50,79,2.32,69.3,33.1,+36.2,+1.06,W W W W W,"52,923",Erling Haaland - 21,Ederson
3,Liverpool,35,22,9,4,77,36,+41,75,2.14,78.3,40.9,+37.4,+1.07,D L W L D,"55,498",Mohamed Salah - 17,Alisson
4,Aston Villa,35,20,7,8,73,52,+21,67,1.91,59.3,53.1,+6.2,+0.18,L D W W D,"41,986",Ollie Watkins - 19,Emiliano Martínez
5,Tottenham,33,18,6,9,67,52,+15,60,1.82,57.8,53.9,+3.9,+0.12,W D W L L,"61,526",Son Heung-min - 16,Guglielmo Vicario
6,Manchester Utd,34,16,6,12,52,51,+1,54,1.59,52.8,61.8,-9.0,-0.27,L D D W D,"73,526",Bruno Fernandes - 10,André Onana
7,Newcastle Utd,34,16,5,13,74,55,+19,53,1.56,64.9,56.4,+8.4,+0.25,D W W L W,"52,132",Alexander Isak - 19,Martin Dúbravka
8,West Ham,35,13,10,12,56,65,-9,49,1.40,47.9,64.8,-16.8,-0.48,D W L L D,"62,573",Jarrod Bowen - 16,Alphonse Areola
9,Chelsea,33,13,9,11,63,59,+4,48,1.45,63.9,50.6,+13.3,+0.40,W D W L D,"39,553",Cole Palmer - 20,Đorđe Petrović
10,Bournemouth,35,13,9,13,52,60,-8,48,1.37,52.6,52.6,0.0,0.00,L D L W W,"11,101",Dominic Solanke - 18,Neto
11,Wolves,35,13,7,15,48,55,-7,46,1.31,44.3,57.0,-12.6,-0.36,L D L L W,"31,007","Hwang Hee-chan, Matheus Cunha - 11",José Sá
12,Brighton,34,11,11,12,52,57,-5,44,1.29,50.0,50.3,-0.4,-0.01,D L D L L,"32,832",João Pedro - 8,Bart Verbruggen
13,Fulham,35,12,7,16,51,55,-4,43,1.23,48.3,57.1,-8.7,-0.25,L L W L D,"24,295",Rodrigo Muniz - 9,Bernd Leno
14,Crystal Palace,35,10,10,15,45,57,-12,40,1.14,41.8,49.2,-7.5,-0.21,L W W W D,"24,902",Jean-Philippe Mateta - 11,Sam Johnstone
15,Everton,35,12,8,15,37,48,-11,38,1.09,49.6,50.9,-1.2,-0.04,W L W W W,"39,032","Abdoulaye Doucouré, Dominic Calvert-Lewin - 6",Jordan Pickford
16,Brentford,35,9,8,18,52,60,-8,35,1.00,55.4,50.6,+4.7,+0.14,D D W W L,"17,079",Yoane Wissa - 10,Mark Flekken
17,Nott'ham Forest,35,7,9,19,42,62,-20,26,0.74,45.3,48.2,-3.0,-0.09,W L D L L,"29,368",Chris Wood - 12,Matt Turner
18,Luton Town,35,6,7,22,48,77,-29,25,0.71,39.3,72.3,-33.0,-0.94,L W L L L,"11,156",Carlton Morris - 10,Thomas Kaminski
19,Burnley,35,5,9,21,38,70,-32,24,0.69,37.7,62.5,-24.8,-0.71,D L D W D,"21,153","Jacob Bruun Larsen, Lyle Foster... - 5",James Trafford
20,Sheffield Utd,35,3,7,25,34,97,-63,16,0.46,34.5,69.7,-35.2,-1.01,D L L L L,"30,152",Oliver McBurnie - 6,Wes Foderingham
